SELECT count(*), s.id, s.shopName
FROM tb_goods_item g
JOIN tb_seller s on g.shopId=s.id
GROUP BY s.id
ORDER BY count(*) desc;

count(*),id,shopName
2,58681515,jessiejane旗舰店
2,116367295,烈火烟具专营店
2,112977990,天使魔纺旗舰店
2,102219663,可意家纺旗舰店
2,110452675,魔方家居旗舰店
2,104736810,小米官方旗舰店
2,69701990,闪魔旗舰店
2,70008262,优芬家居旗舰店
2,108521277,美购海外专营店
2,108536392,star世达旗舰店
2,60697440,穗宝官方旗舰店
2,61163418,金号官方旗舰店
2,112680942,dianbin点缤专卖店
2,106137150,八九间旗舰店
2,106311400,卓昶鞋类专营店
2,71107982,世纪音缘乐器专营店
2,60466542,match旗舰店
2,115862174,Lancome兰蔻官方旗舰店
2,115932209,bofancar旗舰店
2,107148715,吾酷宠物用品专营店
2,107285782,航民首饰旗舰店
2,107389227,playboy度涵专卖店
2,72356736,盆景办公专营店
2,72835484,索浪旗舰店
2,63326917,宁美国度官方旗舰店
2,103708599,后海旗舰店
2,66674010,kingston金士顿旗舰店
2,66959725,爱如花旗舰店
2,144964120,欧百瑞医疗器械旗舰店
2,112154750,shiloh旗舰店
2,59819749,ots旗舰店
2,105432648,wlgd沃立谷德旗舰店
2,112493550,曼迪卡威旗舰店
2,108055309,whizz伟强旗舰店
2,67759913,supfire神火专卖店
2,67955846,丰永宠物用品专营店
2,114897536,vrose旗舰店
2,108465556,世达欣世达专卖店
2,57895461,宝洁官方旗舰店
2,70745452,珀依兰内衣旗舰店
2,58074210,喜万年灯具专营店
2,70990335,和雅乐器专营店
2,58499649,能良数码官方旗舰店
2,116564010,海浪电器旗舰店
2,62656677,天纵旗舰店
2,100025331,olidik奥利帝克旗舰店
2,113756568,东易日盛旗舰店
2,102244585,欧瑞车品专营店
2,64466528,郑走鬼旗舰店
2,110206558,仁诺家居专营店
2,110296230,佳帮手居家日用专营店
2,69565932,爱康国宾官方旗舰店
2,61041851,曼秀雷敦旗舰店
2,68919846,智庭鞋类专营店
2,65394652,嘉丝丽旗舰店
2,103503469,良朴旗舰店
2,66029529,小硕士旗舰店
2,66427186,老美华旗舰店
2,106205777,猫趣食品专营店
2,71511410,上海大药房旗舰店
2,71774354,永鹏运动户外专营店
2,60505560,京雁汽车用品专营店
2,107095469,药健康大药房旗舰店
2,115980187,坚义居家日用专营店
2,107417086,康品家居专营店
2,107522477,纳尼尼眼镜旗舰店
2,62026070,朵典旗舰店
2,62280965,知音乐器专营店
2,62583291,华安汽车用品专营店
2,105789374,雯尚生活旗舰店
2,63366214,爱宝乐母婴旗舰店
2,101691052,欧时纳箱包旗舰店
2,63716160,唐丰旗舰店
2,131191598,东风悦达起亚官方旗舰店
2,135605694,凯迪泰医疗器械旗舰店
2,143684816,康伴医疗器械专营店
2,145121364,有家装饰旗舰店
2,112283642,LUSH岚舒海外旗舰店
2,57303574,枕水人家旗舰店
2,110658914,宜馨居家日用专营店
2,110843077,美的家居旗舰店
2,105472216,炭之轩旗舰店
2,107951361,亨博心曲专卖店
2,108024652,喜钻深圳专卖店
2,57616078,恩博车品专营店
2,58613162,三际数码官方旗舰店
2,113089127,澳克雷鲁雷专卖店
2,130320461,浙江亿力专卖店
2,104346090,贝诺家居专营店
2,60628847,inbike旗舰店
2,68718673,孜琪烟具专营店
2,103221340,鱼饰旗舰店
2,65550032,凯丰旗舰店
2,112633682,青田食品专营店
2,60377933,泰美汽车用品专营店
2,115838564,vcan车品旗舰店
2,72522491,慕艺柏家具旗舰店
2,63425224,贝易母婴专营店
2,63552270,良品铺子旗舰店
2,111415532,momscook旗舰店
2,143177957,mellkit美尔凯特旗舰店
2,57301344,棉花共和国网赢专卖
2,107970392,优圣美帝旗舰店
2,112493440,节节升旗舰店
2,112521557,3m驿鼎专卖店
2,67516977,村哥牛皮旗舰店
2,67609237,顶乐家居旗舰店
2,145707107,木九十官方旗舰店
2,70324298,华佗大药房旗舰店
2,70723191,金士顿荣鑫达专卖店
2,58692369,浪莎官方旗舰店
2,106378606,迪芬家居旗舰店
2,116517888,顽皮时代家居旗舰店
2,73402183,治木工坊旗舰店
2,113817396,卡里努努旗舰店
2,114672249,艾迪恩旗舰店
2,128250451,也雅旗舰店
2,109002119,都市大药房旗舰店
2,109701259,意龙居家日用专营店
2,68506192,嘉定大药房旗舰店
2,60714346,异新汽车用品专营店
2,103175265,贝圣美家居旗舰店
2,103519345,四大满贯运动专营店
2,105976338,妞妞食品专营店
2,112830182,specialized旗舰店
2,60407396,蛟蓓旗舰店
2,107518237,英爵伦男装旗舰店
2,116690196,美菱冷柜旗舰店
2,105517106,playboy内衣旗舰店
2,105731769,ito旗舰店
2,101529349,源氏木语家居旗舰店
2,63644798,palmpolo旗舰店
2,118067634,ekf五金旗舰店
2,120247289,丝涟旗舰店
2,66959765,泰福高官方旗舰店
2,67154264,清和乐器专营店
2,135548251,manhattanportage旗舰店
2,112008669,壹捷汽车服务旗舰店
2,144967805,互邦官方旗舰店
2,57299704,珂兰钻石旗舰店
2,58987156,风水阁旗舰店
2,57301181,亿牧烟具专营店
2,57302123,迈克达威专卖店
2,100437446,玛娅蒂旗舰店
2,59846982,卡蒂诺旗舰店
2,110871147,邦手星旗舰店
2,112350991,上海第一医药大药房旗舰店
2,108023282,dmasun旗舰店
2,108263146,肯特家居旗舰店
2,145849886,casio卡西欧万客隆专卖店
2,57592468,昕凯乐器专营店
2,57934370,美标服饰宝航专卖
2,58110088,奥康鞋业旗舰店
2,58868910,mountainpeak旗舰店
2,116614798,三国杀旗舰店
2,73447310,乐扣乐扣乐倍专卖店
2,63082588,星星电器旗舰店
2,114595169,幸福村大药房旗舰店
2,113764133,泉源堂大药房旗舰店
2,64467037,普利滋家居专营店
2,126574944,龙动力旗舰店
2,110297382,雨露居家日用专营店
2,110398093,绳艺旗舰店
2,68692871,吉大夫大药房旗舰店
2,106095233,suobado索芭朵旗舰店
2,106212108,yodiman旗舰店
2,116215701,芳华康逢专卖店
2,62218131,酷漫居官方旗舰店
2,62290137,明珠牌旗舰店
2,62484667,泰尊家居专营店
2,116745811,cybex旗舰店
2,101415205,佳奥旗舰店
2,101695072,乐动运动户外专营店
2,63957619,骆驼户外官方旗舰店
2,111290086,帝国枫叶旗舰店
2,111738919,疯狂石头旗舰店
2,57299879,佐卡伊旗舰店
2,100185527,百露旗舰店
2,59239068,添香官方旗舰店
2,59391358,谭木匠官方旗舰店
2,105304709,molsion陌森正港专卖店
2,107880148,泉灵汽车用品专营店
2,68352339,岱岳家居旗舰店
2,115444401,浩成乐器旗舰店
2,58623713,富安娜官方旗舰店
2,58882654,聆悦乐器专营店
2,116494634,高爵旗舰店
2,116577574,北通中汉正光专卖店
2,73019285,德生堂大药房旗舰店
2,62842625,hyundaesheet旗舰店
2,62941831,欧莱雅官方旗舰店
2,102496592,护航者车品专营店
2,104588054,南方家居旗舰店
2,104821871,益丰大药房旗舰店
2,108976294,veet薇婷旗舰店
2,108532158,无印良品旗舰店
2,109750936,geled旗舰店
2,68814207,原始原素家居旗舰店
2,103106976,beau旗舰店
2,103223756,睿希尚亿食品专营店
2,65660115,仁品旗舰店
2,105879239,汇千乐器专营店
2,60450294,迪彩广州专卖店
2,60516374,neptune旗舰店
2,115928334,恒拓车品专营店
2,107145874,binger鼎尚专卖店
2,116061085,zippo代代专卖店
2,107510709,skyshop海外专营店
2,72830573,健之家电器专营店
2,105594461,汉鼎户外旗舰店
2,105798431,跨速运动专营店
2,63325028,全能旗舰
2,63608783,俞氏木艺旗舰店
2,63975713,fixsheet家居旗舰店
2,103874829,云开亚美大药房旗舰店
2,66835089,黎创家居专营店
2,67134208,梦神旗舰店
2,144792280,上海康伴医疗器械专营店
2,59139899,欣陆母婴专营店
2,59292344,蜜儿旗舰店
2,59983045,卓希运动专营店
2,111019162,justmode居家日用旗舰店
2,111068349,卡蒂罗旗舰店
2,68368039,evanhome旗舰店
2,67626535,晖皇旗舰店
2,114880720,arrail瑞尔旗舰店
2,115257411,鹦鹉螺母婴专营店
2,70539305,天堂伞官方旗舰店
2,58940488,罗莱家纺官方旗舰店
2,116272514,qq手表旗舰店
2,116476617,伯克维尼旗舰店
2,116593208,tiger虎牌宏时瑞达专卖店
2,106981914,依朵旗舰店
2,62778362,吉善缘旗舰店
2,63072220,沃雅家居旗舰店
2,114672601,七亚珠宝旗舰店
2,102221542,恩华大药房旗舰店
2,64466505,双立人飞鱼秀专卖店
2,64750001,松下电器旗舰店
2,110467346,酷爆汽车用品专营店
2,68966303,飞科官方旗舰店
